"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"162","Skill","Bless","Friar","","0","2","-","","","H","","","","Buff","The next card you play this turn costs up to [a] [a] less. Gain {Luck} [lu].","There is no warmth like the pierce of light through a darkened sky. // The Lady sends her sign unto you when you need it most. // ""Hoh-hoh. What an lovely day it's becoming!""","Anderton Oliveira","46abf80de4384fb28a30c52ac9f36e1a","Gray","","S3","Spec",""
"163","Skill","Cloverfield","Friar","-","1","1","+","","","","","Silence","","Aura","{Attach} to target empty tile. At the start of your turn, if you're {near} {Cloverfield}, gain {Luck} [lu].","""Oh-ho! A four leaf clover! It must be my lucky day!"" // In these hills, the sun always seems to shine the brightest. // 'Could it be? Do I see? A honeyfeld field there beckoning me?' — The Bear and the Badger","Gustavo Guschch","c6599144352648e7ae9445e335a9e81a","Gray","","S3","Spec",""
"164","Skill","Drink","Friar","-","1","2","+","","","","","","Disarm","Buff","Gain two {Luck} [lu].","You partake only when the Lady wills it. Which is, of course, all the time. // The taverns along the Crossroads know you well. Perhaps too well. // When thy cup runneth over it is a gift to be enjoyed!","Wojciech Depczyński","0bd0b9dc23c9431883e88ba95dfd9f3a","Gray","","S3","Spec",""
"165","Skill","Parables","Friar","","0","1","-","","","","","Silence","","Ability","Gain {Luck} [lu], then {Attach} to yourself. Once per turn, you may flip {Luck} as a {reaction} to an opponent playing {any} card.","""Once upon a time, a young errant set out to prove himself against the enchantress...""  // ""After searching far and wide, he found her within a great tower overlooking the land."" // ""He ascended and there was a battle most frightful. He prevailed, but at dire cost.""","Wojciech Depczyński","aea10a228cd14e7b92640217660fafc1","Gray","","S3","Spec",""
"166","Skill","Pray","Friar","-","1","1","+","","","H","","","","Instant Ability","The next card that resolves targeting you this turn deals 4 less damage and applies no tokens to you.","Her grace finds you even when the hour is dark and the light fades. // Evil may strike you down, but it shall never pierce your faith. // There lurks no shadow that can withstand true belief.","Thomas Dumey","f292f1669f914e3898db954b587fec22","Gray","","S3","Spec",""
"167","Skill","Stumble","Friar","","0","1","-","","","","Slow","","","Instant Travel","Flip {Luck} [lu] from the supply. If you flip [clover], {Travel} one tile forward or backward. If you flip [rooster], {Travel} one tile to the left or right. <(You start in the bottom right corner.)>","""My apologies, bumping into you... hic!"" // ""Excuse—hic!—me!"" // You're not the most stable individual.","Wasan Techawibulchai","a2167707d861418abda4965e039fafe9","Gray","","S3","Spec",""
"168","Skill","Sweep","Friar","","0","2","-","1","","","Slow","","Disarm","Instant Attack","{Reach} Deal 4 damage to target enemy. {Slow 2} [o] them.","""You should really stop and smell the roses every now and again!"" // Perhaps one day they'll thank you for this lesson. // The clergy back home will never believe this.","Wojciech Depczyński","93c592e814104899af3490539d6b4fe5","Gray","","S3","Spec",""
"169","Skill","Thwack","Friar","-","2","2","+","1","","","","Silence","Disarm","Ability Attack Debuff","{Reach} Deal 5 damage to target enemy, then flip {Luck} [lu] from the supply. If you flip [clover], gain [a]. If you flip [rooster], deal 3 more damage and {Disarm 2} [i] them.","You strike with the Lady's blessing! // Perhaps a good bop upside the head will set them straight. // ""I believe you should relax. Here, I can assist you!""","Septimius Ferdian","0b66d0497dfe49b8acd04c4bfd3f74bb","Gray","","S3","Spec",""
"170","Skill","Wallop","Friar","-","2","3","-","1","","","","","Disarm","Attack Debuff","{Reach} Deal 11 damage to target enemy. Until the start of your next turn, their cards cost one more {resource} to play.","A hard knock lesson may set them right. // ""You need a good nap. Then, we can talk this out."" // It didn't have to come to this. But you are enjoying yourself.","Wasan Techawibulchai","6577c808386541f484664663e61ecf1e","Gray","","S3","Spec",""
"171","Skill","Execute","Executioner","-","4","2","-","1","","H","","","","Attack","{Reach} <(This can draw range diagonally once.)> Deal 16 damage to target enemy.","The bell tolls. // Off with their head. // One more for the pile.","Septimius Ferdian","364122903e554895a8725ea06c48dfc5","Black","Gray","S3","Spec",""
"172","Skill","Hack","Executioner","-","2","2","+","1","","","","","Disarm","Debuff Attack","{Reach} Deal 6 damage to target enemy. {Disarm 2} [d] them.","Sometimes, it isn't clean. // Bones split and flesh tears. // Spill the crimson tide.","Wojciech Depczyński","4634bf66a1194739b91c51b0d1473b16","Black","Gray","S3","Spec",""
"173","Skill","Hopetaker","Executioner","-","1","2","-","1","","","","Silence","Disarm","Ability Attack","{Reach} Deal 5 damage to target enemy. They discard cards with a combined {Resource} cost of 3 or more, or the rest of their hand.","","Wasan Techawibulchai","ae714d38ae034b0f8906578d9ec40211","Black","Gray","S3","Spec",""
"174","Skill","Last Words","Executioner","-","1","1","+","2","","","","","Disarm","Debuff","{Silence 3} [i] target opponent.","""I'm waiting."" // ""Speak."" // ""Yes?""","Gustavo Guschch","8e3b463fd9e0477799c6dc308a410b1b","Black","Gray","S3","Spec",""
"175","Skill","Make Your Peace","Executioner","-","2","2","+","2","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller pays 3 {Resources}. If the card is {Countered}, end their turn. <(When possible, the next game action they must take this turn is to end their turn.)>","","Wojciech Depczyński","57dc659d206f41bea96d23b64303a551","Black","Gray","S3","Spec",""
"176","Skill","Murder of Crows","Executioner","-","1","1","+","2","","H","","","","Ability","{Attach} to target empty tile. At the end of your turn, each opponent {near} {Murder of Crows} discards a card. After any player enters {Murder of Crows}, {reattach} it to an empty tile {near} it.","","Gustavo Guschch","634e0c5af3684705ad42d474f3659d4e","Black","Gray","S3","Spec",""
"177","Skill","On Your Knees","Executioner","","0","1","-","2","","","","Silence","Disarm","Ability Debuff","Choose one: - {Destroy} target card. - {Slow 2} [o] target opponent.","""The crows will remember you. They have a good memory, so I hear."" // ""Baron says I can kill you however I like."" // You kick his feet out from under him. Time for the best part.","Wojciech Depczyński","b6686ca1fcdf45f58d0c6cbd2c477888","Black","Gray","S3","Spec",""
"178","Skill","Stare","Executioner","","0","2","-","2","","H","","","","Instant Ability","The next time target opponent would gain [p] this turn, instead you do.","They find no sympathy. Their pleas fall on deaf ears. // They may search your face for some meaning. They shall find none. // You feel nothing. There is nothing to be said.","Anderton Oliveira","b702c2387da34277b9bc876557a345eb","Black","Gray","S3","Spec",""
"179","Skill","Step Up","Executioner","-","1","1","+","","","","Slow","","","Travel","{Travel} target enemy up to two tiles towards you.","You grip the axe tighter. This one'll have a sturdy neck. // ""Barnum, failure to pay taxes and disrespect for authority..."" // Such is the fate of criminals on the Crossroads.","Wojciech Depczyński","a672225af04343c9b25eaf4ba826adc0","Black","Gray","S3","Spec",""
"190","Skill","Whet","Executioner","-","1","3","+","","","","","Silence","","Ability","","The silence is deafening, save for the jagged axe grinding upon stone. // You look up. Only terrified glances shoot your way. // The monotony gives you a strange feeling of peace.","Wojciech Depczyński","fd9f555d5a0d48e4aafb3e42dab028e0","Black","Gray","S3","Spec",""
"191","Feat","Fight Dirty","Ruffian","","0","1","-","1","41","","","Silence","Disarm","Ability Attack - Ultimate","Deal 2 damage to target enemy. {Stun} them. <(They lose a resource of their choice.)>","While the king is off fighting his wars, there are lucrative 'business opportunities' on the roads that you plan to exploit...","Septimius Ferdian","30e2096fb7cf46309dde7899c3b966de","Black","","S3","Ultimate",""
"192","Feat","Treachery","Baron","","","","","","38","","","","","Passive - Ultimate","You take the first turn. At the start of your first turn, {Poison} [pi] each opponent twice and draw a card.","For too long the king has forgotten you—slighted you. Now, it is time for revenge.","Septimius Ferdian","bcbce397f9264487b0fe4e8f98c909f8","Black","Blue","S3","Ultimate",""
"193","Feat","Fletch","Fletcher","","","","","","40","","","","","Passive - Ultimate","You may expend [n] to add the top card of either your {Feather} or {Arrowhead Deck} to your {Master Arrow}.","You fletch arrows by day, but don cloak by night. The people need a hero.","Septimius Ferdian","758f5ec12140433fafe1ce723ee81868","Green","","S3","Ultimate",""
"194","Feat","Poach","Poacher","-","1","1","+","2","37","","","Silence","","Ability - Ultimate","Choose one: - {Trap} [t] target tile. - {Spring} target {Trap} on an enemy {near} it.","The king 'owns' these woods, but he hasn't tread them in years. These are your grounds.","Septimius Ferdian","21580125ec3943a48f9367eae538768e","Red","Green","S3","Ultimate",""
"195","Feat","Good Spirits","Friar","","","","","","38","","","","","Passive - Ultimate","After you flip {Luck} [lu], put the result on {Good Spirits}. If you would take or deal damage, instead take less equal to the [clover] on {Good Spirits} or deal more equal to the [rooster], then remove those tokens.","From village to village you travel, spreading food, wine and the good word.","Septimius Ferdian","c6a19c3fed914264b0a0e09be079c27d","Gray","","S3","Ultimate",""
"196","Feat","Behead","Executioner","","","","","","42","","","","","Passive - Ultimate","After you successfully {Attack} an enemy, if they have 5 HP or less, deal 40 damage to them.","You kill those they bring to the block. And with a bribe, those they do not.","Septimius Ferdian","98fb60c1c79441eaa1892e15a4cd9c10","Black","Gray","S3","Ultimate",""
"","","Finch","","","0","","","3","","","","","","","","Sometimes, the only ones who may overcome the greatest evils are those of the smallest stature.","Wasan Techawibulchai","f8d279a2c77a468eac11ca05a2f24969","","","S3","Special",""
"","","Phoenix","","-","1","","","3","","","","Silence","","Ability","Heal yourself 3 HP.","May its relentless flame serve you now before the beast is born anew.","Wasan Techawibulchai","c6aa0a71f4984c25acd278cf4303c7d5","","","S3","Special",""
"","","Crow","","-","1","","","3","","","","Silence","","Ability","Gain [n].","They may favor the gallows, but their feathers reveal insights beyond death.","Wasan Techawibulchai","f9a3c59a550447f58fe6889f61c282fa","","","S3","Special",""
"","","Robin","","-","1","","","3","","","","","Disarm","Buff","Gain two {Luck} [lu].","Some say robins are the Lady's eyes. If so, She likely isn't too fond of you.","Wasan Techawibulchai","3f42f8da038942c490fbb09c6144f580","","","S3","Special",""
"","","Falcon","","-","1","","","3","","H","","","","Instant","This card gains {Heroic} [h] and becomes {Instant} [!].","A falcon does not tire, tense or tarry. May this arrow find the same path.","Wasan Techawibulchai","95eade363a354956b4adca47521a63d5","","","S3","Special",""
"","","Vulture","","-","2","","","3","","","","Silence","","Ability","Deal 4 more damage and return a card from your discard to your hand.","Carrion feeders they may be, there is wisdom in the vulture's resourcefulness.","Wasan Techawibulchai","15d5065b76794be19e4292df35cb35f9","","","S3","Special",""
"","","Eagle","","-","2","","","4","","","","Silence","Disarm","Ability Attack","For each tile between you and the target, deal 2 more damage to and {Stun} them. <(They lose resources of their choice.)>","Masters of the sky, the eagle will cover great distance to claim their prey.","Wasan Techawibulchai","b9865913b0ee4cda81ca4374b9c39597","","","S3","Special",""
"","","Bodkin","","","","2","+","","","","","","Disarm","Attack","Deal 3 damage to target enemy.","The simplest of arrowheads, the bodkin is the tried and true standard issue point.","Wasan Techawibulchai","0d0db03b5f804099ab6675b55b0d0ebd","","","S3","Special",""
"","","Oathflake","","","","1","+","","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. If they're {Uncontrolled}, {Silence 2} [i] them.","Carved from a knight's oathstone, this arrowhead seems to chart its own course.","Wasan Techawibulchai","c54f55081e6149d3b152ada40717fc3b","","","S3","Special",""
"","","Sidewinder","","","","1","+","","","","","","Disarm","Debuff Attack","Deal 2 damage to target enemy. {Poison} [pi] them twice.","A peculiar cut, this arrowhead reacts potently to venomous substances.","Wasan Techawibulchai","958eea605be2416c8b52a312c7040149","","","S3","Special",""
"","","Icepoint","","","","1","-","","","","","","Disarm","Debuff Attack","Deal 5 damage to target enemy. {Slow 2} [o] them.","The seller told you this sharp crystal hails from the highest peaks of the Skelic isles.","Wasan Techawibulchai","70716f5efa8647de8becda2ba03df041","","","S3","Special",""
"","","Elfshot","","","","2","-","","","","Slow","","Disarm","Travel Attack","Deal 6 damage to target enemy. They don't gain [n] at the start of their next turn.","There exists only one realm that rivals Calbrian fletchwork—Arch Sarath.","Wasan Techawibulchai","571d0919fd02408b94883fc1385746b9","","","S3","Special",""
"","","Siege Cap","","","","3","-","","","","Slow","","Disarm","Travel Attack","Deal 7 damage to target enemy. {Travel} them up to two tiles away from you.","Larger versions of the design are fired from ballistae during proper sieges.","Wasan Techawibulchai","9342f2a7e7e54807ad0bff48a38e3ee6","","","S3","Special",""
"","","Reaper","","","","4","-","","","","","","Disarm","Attack","Deal 9 damage to target enemy.","A Vaskian patrol recovered this strange metal beyond their wall. Your thoughts cloud when you nock it on your string.","Wasan Techawibulchai","7cdc650b839b419e87ad42a5258094de","","","S3","Special",""
"","","Misfire","","","","","","","","","","","","Trap","{Slow 1} [o] the enemy. ","That wasn't supposed to happen... // Perhaps they'll wait for it to work? /// You'll never hear the end of this one...","Wasan Techawibulchai","4b61b1d3829446b5becfcadda66b0bb8","","","S3","Special",""
"","","Misfire","","","","","","","","","","","","","{Silence 1} [i] the enemy. ","","","4b61b1d3829446b5becfcadda66b0bb8","","","S3","Special",""
"","","Misfire","","","","","","","","","","","","","{Disarm 1} [d] the enemy.","","","4b61b1d3829446b5becfcadda66b0bb8","","","S3","Special",""
"","","Wolfclaw","","","","","","","","","","","","Trap","Deal 3 damage to the enemy. {Stun} them. <(They lose a resource of their choice.)> (x2)","Those wolves have a mighty fine bite. Gotta watch for the claw, though.","Wasan Techawibulchai","dcf2a935b3604982bb90574ff3799808","","","S3","Special",""
"","","Bearjaws","","","","","","","","","","","","Trap","Deal 4 damage to the enemy. {Slow 2} [o] them. (x1)","It's the best damned trap you've ever had. Somehow, it still hasn't broken.","Wasan Techawibulchai","56e4c6c854204201b1566734a5be7c76","","","S3","Special",""
"","","Necksnapper","","","","","","","","","","","","Trap","Deal 4 damage to the enemy. {Silence 2} [i] them. (x1)","The 'Gallows of the Kingswood', as the locals refer to this contraption.","Wasan Techawibulchai","b0ee2bfaf1504f5fadf0d875f46d9cbc","","","S3","Special",""
"","","Tanglesnare","","","","","","","","","","","","Trap","Deal 4 damage to the enemy. {Disarm 2} [d] them. (x1)","Even you're not sure how this particular invention produces such force.","Wasan Techawibulchai","51175676ad5d4e3ca9d66cdc2df90488","","","S3","Special",""
"","","Honeypot","","","","","","","","","","","","Trap","Deal 5 damage to the enemy. {Poison} [pi] them twice. (x1)","""Oh no, not the bees! Not the bees! Aaahhhhhhhhhh!""","Wasan Techawibulchai","7c82d18e7b43411b9056d1ee445ed766","","","S3","Special",""
"","","Ye Olde Marge","","","","","","","","","","","","Trap","Deal 7 damage to each enemy near this tile. They each discard two cards. Shuffle your {Trap} discard and {Ye Olde Marge} into your {Trap} deck. (x1)","","Wasan Techawibulchai","bcc06ab0b7824dc68360414b8475c68f","","","S3","Special",""
"241","Feat","Crystal Focus","","","0","3","-","","","","","Silence","","Ability - Trait","You may play a card that costs two or less {Resources} for {Free}.","","Wojtek Depcyznski","3f6bace6bc3541d8813dd15a6c669c76","White","","S0","",""
"242","Feat","Manifest Power","","","0","1","+","","","","","Silence","","Ability - Trait","Deal 2 damage to yourself.","An eauath is not always a manifestation of reason.","Wasan Techawibulchai","65463a1d724b4a90a06fa431581d8795","White","","S0","",""
"243","Feat","Soothe Spirit","","-","1","1","+","3","","","","Silence","","Ability - Trait","Heal target player 2 HP.","In times of crisis, the manifest are more welcome than the village druid.","Piotr Arendzikowski","2130f931fcfc454b97b500621e751a44","White","","S0","",""
"244","Feat","Spirit Gate","","-","2","2","+","3","","","Slow","","","Travel - Trait","{Travel} to target tile. {Spirit Gate} may be played once per game.","Manifest are at times accused of witchcraft. In a sense, the folk are right.","Piotr Arendzikowski","011864a68848490893b09ba1c007a0bc","White","","S0","",""
"245","Feat","Strength of Spirit","","","","","","","","","","","","Passive - Trait","After you {Second Wind}, heal yourself 5 HP.","You cannot merely want it. You must will it.","Simon Tjong","b45c536fe9be4d3ea706c94184193926","White","","S0","",""
"246","Feat","Etherean","","","","","","","","","","","","Passive - Trait","The {range} [r] of your {Attack} cards is 1. After you resolve your first {Attack} card during your turn, gain [n].","The Evershore awaits.","Septimius Ferdian","bebef331c9d14fe3a648b8fd07ff864a","White","White","S0","",""
"247","Feat","Cry of the Flock","","","0","2","-","3","","","","","Disarm","Debuff - Trait","{Silence 2} [i] target opponent.","All ravens are messengers. Sometimes wicked, sometimes wise.","Banu Satrio","c1e4ac771f6c4ea5a4d356a73ee1c945","Black","","S0","",""
"248","Feat","Curseweave","","","0","1","+","","","","","Silence","","Ability - Trait","You may play an {Ability} card targeting an enemy. If you don't, {Stun} yourself. <(You lose a resource of your choice.)>","A cursetome amplifies a witch's power. With it, destructive magic becomes macabre art.","Septimius Ferdian","72c8890f32304d51bd39c6179220ea21","Black","","S0","",""
"249","Feat","Howls of the Lost","","-","1","1","+","3","","","","","Disarm","Attack - Trait","Deal 2 damage to target enemy. {Breach} - deal 1 more damage to them. <(This card has Breach if the target has a revealed card in their hand.)>","The spirits of men are twisted beyond recognition in the Wintersea.","Piotr Arendzikowski","5595e20f56d24c45a79bc10e175ad052","Black","","S0","",""
"250","Feat","Scour Spirit","","","0","1","-","3","","","","Silence","","Ability - Trait","Choose one: - Target player {Reveals} a card from their hand. - Target player discards a {Revealed} card of their choice.","The spirit can take only so much punishment before the mind and body break as well.","Nikita Volobuev","d5580326ffe74f07a638fad39e17a0b0","Black","","S0","",""
"251","Feat","Spirit Drain","","","0","2","-","3","","","","Silence","Disarm","Ability Attack - Trait","Target opponent {Reveals} two cards from their hand, then deal damage to them and heal yourself HP equal to the number of {Revealed} cards in their hand. {Spirit Drain} may be played once per game.","","Cynthia F.G.","beee25d2737e41e2a34b75be1b973b3b","Black","","S0","",""
"252","Feat","Doom Bolt","","-","1","2","-","3","","H","","","","Attack - Trait","Only play {Doom Bolt} if you're {Controlled}. Deal 6 damage to target enemy.","The Wintersea beckons.","Cynthia F.G.","25536981e03b425d8d2c3238e29fed6b","Black","Black","S0","",""
"253","Feat","Birdrest","","","","","","","","","","","","Passive - Trait","At the end of your turn, if you didn't leave a tile this turn, gain [p].","Migratory patterns are oftentimes affected by an ancient's wanderings.","Piotr Arendzikowski","99208868c33042a582a3deaa257b0b1a","Red","","S0","",""
"254","Feat","Collateral Damage","","","","","","","","","","","","Passive - Trait","After you make {Terrain} in a tile that already had {Terrain}, deal 2 damage to enemies {near} that tile.","The destruction left in a giant's wake is often unintentional.","Blake Rottinger","1198c75c21b94f85a2a4ad218173eb3a","Red","","S0","",""
"255","Feat","Giantheart","","","","","","","","","","","","Passive - Trait","If you would take damage for the first time during each turn, instead take 1 less damage.","Giants are a hearty people.","Wasan Techawibulchai","5d841ce82bd1429cae197c2d112ffb46","Red","","S0","",""
"256","Feat","Punch","","-","2","2","+","1","","","","","Disarm","Attack - Trait","Deal 5 damage to target enemy.","A quick punch in an argument betwen giants is an acceptable rebuttal.","Nikita Volobuev","3e9e66d3d6804bfc896b544592c37b93","Red","","S0","",""
"257","Feat","Upheaval","","-","1","1","+","1","","","","Silence","","Ability - Trait","Make target tile {Difficult Terrain} [dt].","The oak had grown for two hundred years. It made for an excellent weapon.","Piotr Arendzikowski","2080e16156584b68bd1ec0ff2c5df950","Red","","S0","",""
"258","Feat","Looming","","","","","","","","","","","","Passive - Trait","After you {Reveal} a card with {Hardcast}, {Stun} each opponent. <(They lose a resource of their choice.)>","","Cynthia F.G.","ec13351985904688a4b12f87ed5407ea","Red","Red","S0","",""
"259","Feat","Arctic Wind","","","0","1","-","2","","","Slow","","Disarm","Instant Debuff - Trait","Choose one: - {Slow 2} [o] target opponent. - {Disarm 2} [d] target opponent. {Arctic Wind} may be played once per game.","","Uros Sljivic","4f4cd85598cc4c708d9f8edfc05f4141","Blue","","S2","",""
"260","Feat","Coldblast","","-","2","2","+","2","","","","Silence","Disarm","Debuff Ability - Trait","{Slow 2} [o] target opponent. {Stun} them. <(They lose a resource of their choice.)>","","Wasan Techawibulchai","7008cbdf28984484babedb00603951b9","Blue","","S2","",""
"261","Feat","Fragments","","","","","","","","","","","","Passive - Trait","After you {Slow} [o] an opponent for the first time during your turn, gain 1 [p].","The very land itself is a ceaseless conduit of power for cryomancers.","Uros Sljivic","fdbfa52316a9424199e976aa6958052c","Blue","","S2","",""
"262","Feat","Icicle","","-","1","1","+","2","","","","","Disarm","Attack - Trait","Deal 2 damage to target enemy. {Advantage} - deal 1 more damage to them.","Ice has many forms. All potentially lethal.","Wadim Kashin","c6a9d54a1508493eaa25e9b82ac26b35","Blue","","S2","",""
"263","Feat","Wintermark","","","","","","","","","","","","Passive - Trait","At the start of your turn, remove an instance of {Control} from yourself. If you can't, gain [mi].","The Winter imbues some newborns with an arcane link to its hated power. They are feared, cast out from their clans.","Wojtek Depcyznski","bf61587f0d3646b7be91e03650bd08d8","Blue","","S2","",""
"264","Feat","Biting Cold","","","","","","","","","","","","Passive - Trait","After you {Slow} [o] an opponent, deal 1 damage to them.","Warriors that die in battle are celebrated. Those that fall to the Winter are mourned.","Dario Marzadori","5eba4bfdb92a406bbb6cfe090334f4fc","Blue","Blue","S2","",""
"265","Feat","Druidic Rite","","","0","2","-","","","","","Silence","","Ability - Trait","{Seek}","Wisps are evidence of Yore's many blessings.","Piotr Arendzikowski","c66f63c9e5ae468dbb49190a8413ee79","Green","","S2","",""
"266","Feat","Lay of the Land","","","","","","2","","","","","","Passive - Trait","Before the first turn, make two target tiles {Difficult Terrain} [dt] and draw a card.","Druids often venture forth on pilgrimages to heal the tired land of the Winter's curse.","Blake Rottinger","ecbd6e1c698c4f81a11fe1d7cb55ecea","Green","","S2","",""
"267","Feat","Lifeseed","","","","","","","","","","","","Passive - Trait","After you {Second Wind}, {Attach} {Lifeseed} to yourself. <(It may be destroyed while it is attached to you.)> {Duration} [du] - heal yourself 3 HP.","","Uros Sljivic","604c16b783024cdfbc768d5dabd3776f","Green","","S2","",""
"268","Feat","Regenerate","","-","1","2","+","2","","","","","Disarm","Buff - Trait","{Attach} to target player. {Duration} [du] - heal them 1 HP.","","Septimius Ferdian","8fb272fc02594338ba8516a9cae125f5","Green","","S2","",""
"269","Feat","Verdant Burst","","+","1","2","+","","","","","Silence","","Ability - Trait","Only play {Verdant Burst} if you have at least 15 cards in your discard. {Verdant Burst} may be played once per game.","In the forests, Vanoc's magic lies in wait for the faithful to find.","Uros Sljivic","62ab98a69253430ca24df79159921513","Green","","S2","",""
"270","Feat","Emerald Wrath","","","","","","2","","","","","","Passive - Trait","If you would heal yourself or another player, you may instead deal that much damage to target enemy.","There is a time for healing and growth. That time has passed.","Wojtek Depcyznski","6e86c424e82449f7824f97b24d202e31","Green","Green","S2","",""
"271","Feat","Endurance","","","","","","","","","","","","Passive - Trait","Your maximum HP is increased by 6.","A sturdy back, a good shield, and Vanoc at your side is all a warrior needs.","Nikita Volobuev","3753b191ad694988818ce4a58a89c1d1","Gray","","S2","",""
"272","Feat","Concussive","","","","","","","","","","","","Passive - Trait","The first time you {Stun} an opponent during your turn, you choose which {Resource} they lose.","Some skalds state Astrid, 'Hero of Winterfold', impervious to all harm. She is simply good. Very, very good.","Wasan Techawibulchai","e67f24d1ffd24f9bab81dd9effdc82c4","Gray","","S2","",""
"273","Feat","Resilience","","","","","","","","","","","","Passive - Trait","{Frenzy} - at the start of your turn, gain [mi] [mi].","""The Winter is just another enemy. And I've never lost.""","Septimius Ferdian","8bc851a8c59740a388c7bede371ce3f7","Gray","","S2","",""
"274","Feat","Strike","","-","1","1","+","1","","","","","Disarm","Attack - Trait","Deal 3 damage to target enemy.","With each strike a warrior prays that Vanoc's eyes grace him, so he may join the ranks of the champions in the Evershore.","Piotr Arendzikowski","ae86bea71cfc43ef9c6d8ba7e2220ed3","Gray","","S2","",""
"275","Feat","Superstition","","-","1","1","+","3","","","Slow","Silence","","Instant Ability - Trait","{Counter} target {Ability} card unless its controller spends 1 {Resource}.","In The Skels, a protective charm is worth far more than its weight in gold.","Nikita Volobuev","a5d6537781ae47c3a9eff0fa3180b576","Gray","","S2","",""
"276","Feat","Hammerfall","","-","1","1","-","1","","","","","Disarm","Attack - Trait","Deal 4 damage to target enemy plus damage equal to your [mi].","The best offense is a good defense.","Wasan Techawibulchai","d591031d42824ee4ad26a35121c64499","Gray","Gray","S2","",""
"277","Feat","Enlighten","","","0","2","-","3","","","","Silence","","Ability - Trait","Choose one: - Target player draws a card. - Heal target character 2 HP.","The eauath are spiritual beings, but Winter Crystal contains their boundless essence.","Simon Tjong","1ebe7751114c4afd899d8e8d58e480e3","White","Blue","S0","",""
"278","Feat","Accursed Strength","","","","","","","","","","","","Passive - Trait","The second {Attack} card you play during your turn costs 1 less {Resource}. <(Action and power costs may not be reduced to zero in this way.)> After you play your second {Attack} card during your turn, if its cost was reduced, deal 3 damage to yourself.","","Wasan Techawibulchai","207de65e0a8641b6840599eab2a0c6b2","Black","Red","S0","",""
"279","Feat","Beneath Me","","","","","","","","","","","","Passive - Trait","At the start of your turn, if you have more HP than each opponent, gain [p].","""Is that all?""","Wasan Techawibulchai","5eaad03973ac4b1ba48f80119f1b04f0","Red","Gray","S0","",""
"280","Feat","Wary","","","","","","","","","","","","Passive - Trait","After you {Second Wind}, {Attach} {Wary} to yourself until the end of the turn. <(It may be destroyed while it is attached to you.)> You can't be targeted by enemies. {Wary} can only trigger once per game.","","Mario Vazquez","dddfa20e281545368cda155ef1f22e81","Blue","Gray","S2","",""
"281","Feat","Huntmaster","","","","","","","","","","","","Passive - Trait","At the end of your turn, if you have two or less {Resources}, gain [a].","The first mistake is thinking you've escaped.","Simon Tjong","17f31f90150341daba4184321d5291ba","Black","Green","S2","",""
"282","Feat","Shift","","-","1","1","+","1","","","Slow","","","Travel - Trait","{Travel} to another target tile.","""Always keep moving. You never know when a Winterstorm is approaching.""","Wasan Techawibulchai","c230fd0d3ea9441aae61ba70153bf863","Green","Gray","S2","",""
"247","Feat","Mentor","","","","","","","","","","","","Passive - Trait","At the start of your first turn discard up to three cards from your hand, then draw that many cards.","Even after all these years, you still remember his lessons.","Lucas Torquato","464bba1a43a84367b4207fdc8875fbe9","White","","S1","",""
"248","Feat","Oathbearer","","","","","","","","","","","","Passive - Trait","At the start of your first turn, become {Chivalrous} [c].","You take no vow for lord nor king. You follow this code because you must.","Wojciech Depczyński","9c70f872abd146f2bf93d7e9658077e2","White","","S1","",""
"249","Feat","Press On","","-","1","1","+","","","","Slow","","","Travel - Trait","{Travel} one tile towards another target {Non-Adjacent} character.","Evil never tires, and so neither shall you.","Wojciech Depczyński","2a0ca59ebeb041d6beb60befe1dd30cc","White","","S1","",""
"250","Feat","Quest","","","","","","","","","","","","Passive - Trait","After you become {Chivalrous} or enter {Terrain}, put a token on {Quest}. Once you have five or more tokens on {Quest}, remove five tokens from it and gain a random {Relic}.","There is something greater that you aspire to. To be remembered.","Wasan Techawibulchai","8c6e7e55e8214eeb9b22585095ba3d49","White","","S1","",""
"251","Feat","Valor","","","","","","","","","","","","Passive - Trait","{Valor} only applies after you have used your {Second Wind}. At the end of your turn, if you are {near} an enemy, you may draw a card.","When battle calls, you are the answer.","Septimius Ferdian","96f46499887f40609bfd814e3f6f80cd","White","","S1","",""
"252","Feat","Destiny","","","","","","","","","","","","Passive - Trait","After you draw your opening hand, shuffle two random {Relics} into your deck. After a {Relic} leaves your deck, gain it.","Greatness calls.","Septimius Ferdian","d388c85210024993adf30afd094310b5","White","White","S1","",""
"259","Feat","Dreamstep","","","0","1","-","","","","Slow","","","Travel - Trait","{Travel} one tile towards target tile with {Terrain}.","Each step brings a strange euphoria that you could never resist.","Wasan Techawibulchai","b49023f00b2a424a810aa1f634038294","Red","","S1","",""
"260","Feat","Enchant","","-","1","1","+","2","","","","Silence","","Ability - Trait","Make target tile {Enchanted Terrain} [et].","A simple touch, and all you survey shall be yours.","Wojciech Depczyński","1bf222aeb8c047d39f41bda2c5381bea","Red","","S1","",""
